appid,title,released,current_price,original_price,tags
730,Counter-Strike 2,2023年9月27日,0.0,0.0,"Action, FPS, Multiplayer, Competitive, Shooter"
570,Dota 2,2013年7月9日,0.0,0.0,"Action, Free to Play, MOBA, Multiplayer, Strategy"
1086940,Baldur's Gate 3,2023年8月3日,298.0,398.0,"RPG, Story Rich, Choices Matter, Character Customization, Fantasy"
1245620,ELDEN RING,2022年2月25日,298.0,398.0,"Action RPG, Souls-like, Dark Fantasy, Difficult, Exploration"
381210,Dead by Daylight,2016年6月14日,68.0,98.0,"Horror, Multiplayer, Survival Horror, Online Co-Op, Asymmetric VR"
271590,Grand Theft Auto V,2015年4月14日,0.0,199.0,"Action, Adventure, Open World, Crime, Multiplayer"
1174180,Red Dead Redemption 2,2019年12月5日,198.0,298.0,"Adventure, Action, Open World, Western, Story Rich"
578080,PUBG: BATTLEGROUNDS,2017年12月21日,0.0,98.0,"Action, Battle Royale, Survival, Multiplayer, Shooter"
427520,Factorio,2020年8月14日,105.0,0.0,"Automation, Strategy, Building, Indie, Simulation"
